"","a_sample","a_sample_category","expected_mutations","micado_tp_calls","micado_fp_calls","micado_tot_calls","varscan_tp_calls","varscan_fp_calls","varscan_tot_calls","gatk_tp_calls","gatk_fp_calls","gatk_tot_calls"
"1","158_1","negative control",0,0,0,0,0,4,4,0,1,1
"2","169_1","positive control",1,1,0,1,1,8,9,1,2,3
"3","169_2","positive control",1,1,0,1,1,8,9,1,2,3
"4","183_1","difficult group",1,1,0,1,1,4,5,0,2,2
"5","183_2","difficult group",1,1,0,1,1,5,6,0,2,2
"6","192_1","difficult group",1,1,0,1,1,5,6,1,2,3
"7","192_2","difficult group",1,1,0,1,1,3,4,1,3,4
"8","193_1","negative control",0,0,0,0,0,8,8,0,3,3
"9","207_1","positive control",1,1,1,2,1,11,12,1,4,5
"10","207_2","positive control",1,1,1,2,1,4,5,1,1,2
"11","215_1","difficult group",1,1,1,2,1,10,11,1,0,1
"12","215_2","difficult group",1,1,0,1,1,6,7,1,2,3
"13","221_1","positive control",1,1,0,1,1,2,3,1,1,2
"14","221_2","positive control",1,1,0,1,1,5,6,1,3,4
"15","256_1","negative control",1,1,0,1,1,5,6,1,3,4
"16","267_1","negative control",0,0,0,0,0,5,5,0,1,1
"17","269_1","difficult group",1,1,0,1,1,11,12,1,1,2
"18","269_2","difficult group",1,1,0,1,1,2,3,1,5,6
"19","272_1","difficult group",1,1,1,2,1,7,8,1,0,1
"20","272_2","difficult group",1,1,0,1,1,4,5,1,2,3
"21","276_1","difficult group",2,1,1,2,1,6,7,1,1,2
"22","279_1","positive control",1,1,0,1,1,8,9,1,4,5
"23","279_2","positive control",1,1,0,1,1,8,9,1,2,3
"24","284_1","negative control",0,0,0,0,0,4,4,0,0,0
"25","285_1","negative control",0,0,0,0,0,5,5,0,2,2
"26","288_1","negative control",0,0,0,0,0,5,5,0,2,2
"27","290_1","difficult group",1,1,0,1,1,8,9,0,4,4
"28","290_2","difficult group",1,1,0,1,1,4,5,0,3,3
"29","306_1","negative control",0,0,0,0,0,5,5,0,4,4
"30","311_2","negative control",0,0,0,0,0,10,10,0,1,1
"31","312_1","negative control",0,0,0,0,0,3,3,0,0,0
"32","316_1","positive control",1,1,0,1,1,7,8,1,1,2
"33","316_2","positive control",1,1,0,1,1,4,5,1,1,2
"34","318_1","positive control",1,1,0,1,1,5,6,1,0,1
"35","318_2","positive control",1,1,0,1,1,5,6,1,4,5
"36","319_1","negative control",0,0,0,0,0,6,6,0,4,4
"37","320_1","positive control",1,1,0,1,1,8,9,1,4,5
"38","320_2","positive control",1,1,0,1,1,6,7,1,3,4
"39","322_1","negative control",0,0,0,0,0,6,6,0,2,2
"40","323_1","difficult group",1,1,0,1,0,9,9,0,0,0
"41","326_1","difficult group",1,1,0,1,1,4,5,1,1,2
"42","326_2","difficult group",1,1,0,1,1,5,6,1,3,4
"43","340_1","positive control",1,1,0,1,1,7,8,1,1,2
"44","340_2","positive control",1,1,0,1,1,5,6,1,2,3
"45","341_1","positive control",1,1,0,1,1,5,6,1,2,3
"46","341_2","positive control",1,1,0,1,1,6,7,1,5,6
"47","83_1","difficult group",1,0,1,1,0,3,3,0,2,2
"48","83_2","difficult group",1,0,1,1,0,7,7,0,1,1
